FEEDER ID,FEEDER NAME,DTR ID,DTR NAME
131KNB05,defective prepaid meters,smgsd_DPM_DTR,DEFECTIVE PREPAID METER DTR
144KHL02,DMC 11kV,smg_100003,100 KVA LAIRIKYENGBAM AWANG LEIKAI
144KHL02,DMC 11kV,smg_100014,100KVA HENJUNAHA
144KHL02,DMC 11kV,smg_100043,250 KVA SALANTHONG WEST
144KHL02,DMC 11kV,smg_100098,100KVA Lairikyengbam  Leikai Henjunaha
144KHL02,DMC 11kV,smg_100100,100KVA Lairikyengbam Salan Leirak New
144KHL02,DMC 11kV,smg_100101,250KVA Lairikyengbam Salanthong
144KHL02,DMC 11kV,smg_100102,250KVA Lairikyengbam Mayai Leirak
144KHL02,DMC 11kV,smg_100145,"100kVA, Lairikyengbam Maning Leikai"
144KHL02,DMC 11kV,smg_100146,"25KVA, TOWER, WAITON MAMANG"
144KHL02,DMC 11kV,smg_100147,"25KVA, TOWER, LAMLONG THONG"
144KHL02,DMC 11kV,smg_HT10010,"Lairikyengbam Leikai Water Supply, PHED"
143CGL01,Forensic Sc. 11kV,smg_HT10004,"Director Forensic Science Lab, Hom e"""
143CGL01,Forensic Sc. 11kV,smg_HT10005,"CO 6th IRB, Pangei"""
144KHL07,Pangei 11kV,smg_100001, 100KVA   KHUNDRAKPAM MAYAI-5
144KHL07,Pangei 11kV,smg_100005,100 KVA PANGEI LAIRAM MAPAL
144KHL07,Pangei 11kV,smg_100006,100 KVA PANGEI NEPALI
144KHL07,Pangei 11kV,smg_100008,100KVA   KHUNDRAKPAM MAYAI-4
144KHL07,Pangei 11kV,smg_100009,100KVA  KHUNDRAKPAM MAYAI-3
144KHL07,Pangei 11kV,smg_100010,100KVA  SOMENDRO LAMPAK
144KHL07,Pangei 11kV,smg_100011,100KVA ARAMBAM LEIRAK
144KHL07,Pangei 11kV,smg_100012,100KVA Haotal NEW
144KHL07,Pangei 11kV,smg_100013,100KVA Haotal OLD
144KHL07,Pangei 11kV,smg_100015,100KVA IPUM MAPAL (NEW)
144KHL07,Pangei 11kV,smg_100017,100KVA KHUNDRAKPAM MAKHA-1 
144KHL07,Pangei 11kV,smg_100018,100KVA KHUNDRAKPAM MAYAI-2
144KHL07,Pangei 11kV,smg_100019,100KVA Khurai Konsam Leikai
144KHL07,Pangei 11kV,smg_100020,100KVA NANDEIBAM LEIKAI
144KHL07,Pangei 11kV,smg_100022,100KVA Pangei  Thambou Lampak
144KHL07,Pangei 11kV,smg_100023,100KVA PANGEI KONGBA WANGMA
144KHL07,Pangei 11kV,smg_100031,100KVA TANGKHAM AWANG
144KHL07,Pangei 11kV,smg_100032,100KVA Waiton Awang
144KHL07,Pangei 11kV,smg_100033,100KVA WAITON MANING
144KHL07,Pangei 11kV,smg_100040,250 KVA KHOMIDOK BAZAR
144KHL07,Pangei 11kV,smg_100042,250 KVA PANGEI BAZAR
144KHL07,Pangei 11kV,smg_100044,250KVA HAOTAL
144KHL07,Pangei 11kV,smg_100045,250KVA THAROIJAM LEIRAK
144KHL07,Pangei 11kV,smg_100051,25KVA KHUNDRAKPAM KHUNOU
144KHL07,Pangei 11kV,smg_100055,25KVA THANGJAM KHUNOU
144KHL07,Pangei 11kV,smg_100056,63 KVA KABASTAN
144KHL07,Pangei 11kV,smg_100057,63 KVA KHOMIDOK MANING
144KHL07,Pangei 11kV,smg_100059,63 KVA WAITON MAKHA 
144KHL07,Pangei 11kV,smg_100065,63KVA KHOMIDOK KARONG
144KHL07,Pangei 11kV,smg_100073,KAIRANG MAMANG LEIKAI 100KVA
144KHL07,Pangei 11kV,smg_100093,250KVA Kairang Muslim Mamang Leikai
144KHL07,Pangei 11kV,smg_100094,100KVA Khurai Ipum Mapal
144KHL07,Pangei 11kV,smg_100095,100KVA Konsam Leikai Soyam Leirak
144KHL07,Pangei 11kV,smg_100097,63KVA Khomidok Masajid Maning
144KHL07,Pangei 11kV,smg_100107,100KVA WAITON MAYAI 
144KHL07,Pangei 11kV,smg_100109,100KVA Khurai Nandeibam Leikai
144KHL07,Pangei 11kV,smg_100110,100KVA Tangkham Maning Leikai
144KHL07,Pangei 11kV,smg_100114,"25KVA, HUNDRED FLOWER"
144KHL07,Pangei 11kV,smg_100115,"63KVA, Haotal, HEIGANG KHONG"
144KHL07,Pangei 11kV,smg_100116,"100KVA, 6TH IRB, PANGEI"
144KHL07,Pangei 11kV,smg_100117,"63KVA, MOBILE TOWER, PANGEI"
144KHL07,Pangei 11kV,smg_100118,"100KVA, WAITON (NEW)"
144KHL07,Pangei 11kV,smg_100119,"100KVA, KAIRANG MAMANG LEIKAI (NEW)"
144KHL07,Pangei 11kV,smg_100120,"63KVA, HEIGRUMAKHONG TOWER"
144KHL07,Pangei 11kV,smg_100121,"25KVA, KHOMIDOK KARONG, TOWER"
144KHL07,Pangei 11kV,smg_100148,"63 KVA, TANGKHAM MANING LEIKAI"
144KHL07,Pangei 11kV,smg_HT10003,Director MPTC Home Pangei
144KHL07,Pangei 11kV,smg_HT10009,"Khundrakpam Water Supply,PHED"""
144KHL07,Pangei 11kV,smg_HT10014,"NBS Bricks Field,PANGEI"
144KHL07,Pangei 11kV,smg_HT10017,Eastern Construction Pvt.Ltd.
144KHL07,Pangei 11kV,smg_HT10018,RELIANCE JIO INFRATEL PVT LTD C/O MD KAYAMUDDIN
144KHL07,Pangei 11kV,smg_HT10019,"Khomidok Water Supply, Khurai Heikhrumakhong"
144KHL07,Pangei 11kV,smg_HT10020,Pangei Waiton Water Supply
144KHL07,Pangei 11kV,smg_HT10021,Khundrakpam Makha Leikai Water Supply
144KHL07,Pangei 11kV,smg_HT10022,Tangkham Makha Leikai Water Supply
144KHL07,Pangei 11kV,smg_HT10024,RELIANCE JIO INFRATEL PVT LTD C/O RUPA NINGOMBAM
